Title,Date
"Isi & Ossi","17/02/2020"
"Brooklyn Nine-Nine: Season 5: Show Me Going","17/02/2020"
"Brooklyn Nine-Nine: Season 5: Bachelor/ette Party","17/02/2020"
"Brooklyn Nine-Nine: Season 5: Gray Star Mutual","17/02/2020"
"Brooklyn Nine-Nine: Season 5: DFW","15/02/2020"
"Brooklyn Nine-Nine: Season 5: NutriBoom","15/02/2020"
"Brooklyn Nine-Nine: Season 5: The Puzzle Master","15/02/2020"
"Brooklyn Nine-Nine: Season 5: The Box","15/02/2020"
"Brooklyn Nine-Nine: Season 5: The Negotiation","15/02/2020"
"Brooklyn Nine-Nine: Season 5: Safe House","15/02/2020"
"Brooklyn Nine-Nine: Season 5: The Favor","15/02/2020"
"To All the Boys I’ve Loved Before","14/02/2020"
"To All the Boys: P.S. I Still Love You","14/02/2020"
"My Neighbor Totoro","09/02/2020"
"Gilmore Girls: Season 3: Keg! Max!","08/02/2020"
"Elvis & Anabelle","07/02/2020"
"Pose: Season 1: Pilot","07/02/2020"
"Kiki’s Delivery Service","02/02/2020"
"Lady Bird","02/02/2020"
"Miss Americana","01/02/2020"
"Chilling Adventures of Sabrina: Part 3: Chapter Twenty-One: The Hellbound Heart","26/01/2020"
"Chilling Adventures of Sabrina: Part 2: Chapter Nineteen: The Mandrake","26/01/2020"
"the goop lab with Gwyneth Paltrow: Season 1: The Healing Trip","26/01/2020"
"Brooklyn Nine-Nine: Season 5: Game Night","21/01/2020"
"Gilmore Girls: Season 3: Happy Birthday, Baby","20/01/2020"
"Gilmore Girls: Season 3: A Tale of Poes and Fire","20/01/2020"
"Gilmore Girls: Season 3: The Big One","20/01/2020"
"Fifty Shades Freed","19/01/2020"
"Gilmore Girls: Season 3: Face-Off","17/01/2020"
"Gilmore Girls: Season 3: Swan Song","17/01/2020"
"Newness","13/01/2020"
"Cheer: Season 1: God Blessed Texas","13/01/2020"
"Gilmore Girls: Season 3: Dear Emily and Richard","12/01/2020"
"Gilmore Girls: Season 3: Lorelai Out of Water","12/01/2020"
"Gilmore Girls: Season 3: I Solemnly Swear...","12/01/2020"
"Gilmore Girls: Season 3: That'll Do, Pig","12/01/2020"
"Gilmore Girls: Season 3: A Deep-Fried Korean Thanksgiving","12/01/2020"
"Only You","11/01/2020"
"The Square","11/01/2020"
"Fifty Shades of Grey","05/01/2020"
"Call Me by Your Name","04/01/2020"
"Gilmore Girls: Season 3: Let the Games Begin","03/01/2020"
"Gilmore Girls: Season 3: They Shoot Gilmores, Don't They?","03/01/2020"
"Gilmore Girls: Season 3: Take the Deviled Eggs...","03/01/2020"
"Gilmore Girls: Season 3: Eight O'Clock at the Oasis","03/01/2020"
"Gilmore Girls: Season 3: One's Got Class and the Other One Dyes","03/01/2020"
"Gilmore Girls: Season 3: Application Anxiety","03/01/2020"
"Gilmore Girls: Season 3: Haunted Leg","03/01/2020"
"Home for Christmas: Season 1: The Final Christmas Countdown","01/01/2020"
"Home for Christmas: Season 1: Heartache","01/01/2020"
"Home for Christmas: Season 1: Party Flirting","01/01/2020"
"Home for Christmas: Season 1: Sugar Baby? Sugar Daddy?","01/01/2020"
"You: Season 2: Love, Actually","30/12/2019"
"You: Season 2: P.I. Joe","28/12/2019"
"You: Season 2: Fear and Loathing in Beverly Hills","28/12/2019"
"You: Season 2: Ex-istential Crisis","28/12/2019"
"You: Season 2: Farewell, My Bunny","28/12/2019"
"You: Season 2: Have a Good Wellkend, Joe!","28/12/2019"
"You: Season 2: The Good, the Bad, & the Hendy","28/12/2019"
"You: Season 2: What Are Friends For?","28/12/2019"
"Home for Christmas: Season 1: Heavy Dating","26/12/2019"
"Home for Christmas: Season 1: The Big Christmas Lie","26/12/2019"
"The Witcher: Season 1: Much More","22/12/2019"
"The Witcher: Season 1: Bottled Appetites","22/12/2019"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","22/12/2019"
"The Witcher: Season 1: Betrayer Moon","22/12/2019"
"The Witcher: Season 1: Four Marks","22/12/2019"
"The Witcher: Season 1: The End’s Beginning","22/12/2019"
"Wonder Woman","22/12/2019"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Closing the Net","21/12/2019"
"You: Season 1: Bluebeard's Castle","21/12/2019"
"Queer Eye: We're in Japan!: Season 1: Bringing Sexy Back","19/12/2019"
"Queer Eye: Season 1: Dega Don't","19/12/2019"
"Derry Girls: Season 1: Episode 6","19/12/2019"
"Gilmore Girls: Season 3: Lazy-Hazy-Crazy Days","19/12/2019"
"Gilmore Girls: Season 2: I Can't Get Started","19/12/2019"
"The Rolling Stones: Olé Olé Olé! A Trip Across Latin America","19/12/2019"
"Daybreak: Season 1: FWASH-BOOOOOOOOOOOOOOOOOOOOOOOOOM!","16/12/2019"
"Gilmore Girls: Season 2: Lorelai's Graduation Day","11/12/2019"
"Brooklyn Nine-Nine: Season 5: Jake & Amy","08/12/2019"
"Brooklyn Nine-Nine: Season 5: White Whale","08/12/2019"
"Brooklyn Nine-Nine: Season 5: Kicks","07/12/2019"
"Brooklyn Nine-Nine: Season 5: The Big House, Pt. 2","07/12/2019"
"Brooklyn Nine-Nine: Season 5: The Big House, Pt. 1","07/12/2019"
"You: Season 1: Candace","07/12/2019"
"You: Season 1: You Got Me, Babe","07/12/2019"
"You: Season 1: Everythingship","07/12/2019"
"You: Season 1: Amour Fou","07/12/2019"
"You: Season 1: Living with the Enemy","07/12/2019"
"You: Season 1: The Captain","07/12/2019"
"You: Season 1: Maybe","07/12/2019"
"You: Season 1: The Last Nice Guy in New York","05/12/2019"
"You: Season 1: Pilot","05/12/2019"
"Carol","03/12/2019"
